Optical Power Monitor,,,,
5.0.4590.776,,,,
Delimiter Used: , ',',,
,,,,
Start of Measurement , 1/6/2024 20:17:20,,,
Sample Interval , 0.5 s,,,
, PM100D 200629114,,,
Type, PM100D,,,
Serialnumber, P0041112,,,
Sensor, S120C,,,
SensorSerialnumber,200629114,,,
Wavelength / Responsivity, 780 nm,,,
,,,,
,,,PM100D 200629114, 
Samples ,Date (MM/dd/yyyy) ,Time of day (hh:mm:ss) ,Power (W),
114, 1/6/2024, 20:18:11.899,0.0013925,
115, 1/6/2024, 20:18:11.931,0.0013946,
116, 1/6/2024, 20:18:11.962,0.0013946,
117, 1/6/2024, 20:18:11.995,0.0013955,
118, 1/6/2024, 20:18:12.026,0.0013964,
119, 1/6/2024, 20:18:12.543,0.0013921,
120, 1/6/2024, 20:18:13.062,0.0013924,
121, 1/6/2024, 20:18:13.579,0.0013927,
122, 1/6/2024, 20:18:14.097,0.0013926,
123, 1/6/2024, 20:18:14.616,0.001392,
124, 1/6/2024, 20:18:15.138,0.0013927,
125, 1/6/2024, 20:18:15.659,0.0013927,
126, 1/6/2024, 20:18:16.179,0.0013926,
127, 1/6/2024, 20:18:16.698,0.0013912,
128, 1/6/2024, 20:18:17.217,0.0013914,
129, 1/6/2024, 20:18:17.735,0.001392,
130, 1/6/2024, 20:18:18.252,0.0013904,
131, 1/6/2024, 20:18:18.778,0.0013914,
132, 1/6/2024, 20:18:19.304,0.0013897,
133, 1/6/2024, 20:18:19.810,0.001391,
134, 1/6/2024, 20:18:20.333,0.0013907,
135, 1/6/2024, 20:18:20.853,0.0013905,
136, 1/6/2024, 20:18:21.373,0.0013912,
137, 1/6/2024, 20:18:21.893,0.0013924,
138, 1/6/2024, 20:18:21.925,0.0013943,
139, 1/6/2024, 20:18:21.958,0.0013919,
140, 1/6/2024, 20:18:21.989,0.0013919,
141, 1/6/2024, 20:18:22.019,0.0013931,
142, 1/6/2024, 20:18:22.544,0.0013904,
143, 1/6/2024, 20:18:23.061,0.0013898,
144, 1/6/2024, 20:18:23.581,0.0013921,
145, 1/6/2024, 20:18:24.100,0.0013921,
146, 1/6/2024, 20:18:24.622,0.0013893,
147, 1/6/2024, 20:18:25.128,0.0013902,
148, 1/6/2024, 20:18:25.649,0.0013913,
149, 1/6/2024, 20:18:26.168,0.0013928,
150, 1/6/2024, 20:18:26.687,0.0013897,
151, 1/6/2024, 20:18:27.205,0.0013907,
152, 1/6/2024, 20:18:27.725,0.0013916,
153, 1/6/2024, 20:18:28.246,0.0013913,
154, 1/6/2024, 20:18:28.766,0.0013917,
155, 1/6/2024, 20:18:29.290,0.0013911,
156, 1/6/2024, 20:18:29.810,0.0013919,
157, 1/6/2024, 20:18:30.328,0.0013916,
158, 1/6/2024, 20:18:30.847,0.0013917,
159, 1/6/2024, 20:18:31.363,0.0013914,
160, 1/6/2024, 20:18:31.883,0.0013918,
161, 1/6/2024, 20:18:31.914,0.0013946,
162, 1/6/2024, 20:18:31.945,0.0013928,
163, 1/6/2024, 20:18:31.976,0.0013922,
164, 1/6/2024, 20:18:32.007,0.0013916,
165, 1/6/2024, 20:18:32.525,0.0013909,
166, 1/6/2024, 20:18:33.050,0.0013896,
167, 1/6/2024, 20:18:33.572,0.001389,
168, 1/6/2024, 20:18:34.103,0.0013905,
169, 1/6/2024, 20:18:34.619,0.0013898,
170, 1/6/2024, 20:18:35.137,0.0013907,
171, 1/6/2024, 20:18:35.660,0.0013902,
